target_id,length_bin,Psi1536,Psi3072,K
3qra_A,128-191,0.050221648169409355,0.08345292766934558,0.03323127949993622
3n90_A,128-191,0.04646450744716641,0.010329693855705455,-0.03613481359146095
2h19_A,128-191,-0.0083080808080808,-0.014099326599326605,-0.005791245791245804
1wlf_A,128-191,0.07476940542074642,0.05017738044557966,-0.024592024975166757
3fj8_A,128-191,0.024598252043980792,0.017730163205212528,-0.006868088838768265
2xjk_A,128-191,0.014691004740432402,-0.01844866458550123,-0.03313966932593363
2gu3_A,128-191,-0.0056166489298805754,-0.0027097867644160717,0.002906862165464504
6h6c_A,128-191,-0.011472684899581913,-0.019663787785317695,-0.00819110288573578
2y2b_A,128-191,-0.0016390806303965893,-0.09967465795789116,-0.09803557732749456
3rgq_A,128-191,0.016410342137523706,0.030689290092499728,0.014278947954976022
4ilz_A,128-191,0.1409769463340892,-0.06481481481481478,-0.205791761148904
4g78_A,128-191,0.014447689090777994,0.00684079601990052,-0.007606893070877474
4rej_A,128-191,0.026210353382954472,-0.027886743110038185,-0.05409709649299266
1h6x_A,128-191,0.014789925619597391,0.015414548691881351,0.0006246230722839598
5jix_A,128-191,-0.03656427286564268,0.011294451362944467,0.04785872422858714
1ktg_A,128-191,-0.018296367384659142,0.13482796616193926,0.15312433354659846
1qhq_A,128-191,0.08555366591080876,0.04654037540942303,-0.03901329050138574
3qn2_A,128-191,0.0050640953769107095,0.0232929700639085,0.01822887468699779
3bmb_A,128-191,-0.017010989795190248,0.09603582387782779,0.11304681367301805
3sao_A,128-191,0.014980475683351084,-0.00644302449414274,-0.021423500177493823
3zfp_A,128-191,0.02693766185719568,-0.005256505117770365,-0.03219416697496605
1a3z_A,128-191,-0.06647261948417064,0.007731328688424448,0.07420394817259508
1j54_A,128-191,-0.007359451084550679,-0.0032508853474988936,0.004108565737051786
1esl_A,128-191,0.0062193864398040815,0.06353119360659962,0.05731180716679554
2z6o_A,128-191,0.13718991893703908,0.14031358566465535,0.0031236667276162513
1jzj_A,128-191,-0.009348202127268033,0.004131242869235583,0.013479444996503616
1oll_A,128-191,0.004851642898187341,-0.010558689860523477,-0.015410332758710819
6otd_A,128-191,0.1439263097294185,0.19210775847471984,0.04818144874530132
3k44_A,128-191,-0.010891481241448822,-0.005868798156549356,0.005022683084899467
1rxi_A,128-191,0.009383663894220517,0.02605388497902899,0.01667022108480847
3olv_A,128-191,0.006724357533528069,0.008672360830149094,0.0019480032966210246
1f21_A,128-191,-0.08426710608914002,-0.038300376647834304,0.04596672944130572
6s09_A,128-191,0.014526179493404548,0.037192144803215456,0.02266596530981091
2zwj_A,128-191,0.05598445857301447,0.012244760655296536,-0.04373969791771794
2wc6_A,128-191,-0.001216097987751605,-0.02480314960629922,-0.023587051618547614
4oa3_A,128-191,0.022344613145446692,-0.00842678045714667,-0.03077139360259336
2cj6_A,128-191,-0.0017443852599445685,0.0027178145344672147,0.004462199794411783
1ryl_A,128-191,0.049052774018944555,0.09688768606224629,0.04783491204330174
2zez_A,128-191,0.03966568934721802,-0.0011795234725171275,-0.040845212819735154
4kow_A,128-191,-0.0007278983589200773,0.01083024527968943,0.011558143638609507
5ii8_A,128-191,0.06607855492543584,0.04417139256458725,-0.021907162360848585
1ahq_A,128-191,-0.13166376937563382,-0.015545777198319486,0.1161179921773143
5ziq_A,128-191,0.03402838818895079,0.0031985545463423496,-0.030829833642608447
3by8_A,128-191,0.009480731881835847,-0.009744795393369464,-0.01922552727520531
4ibb_B,128-191,0.2035120147874307,0.09296570137605258,-0.11054631341137812
6h49_A,128-191,-0.026474159791421155,0.050805385906639536,0.07727954569806068
2jek_A,128-191,0.05914548022598867,0.02145547484530535,-0.03769000538068332
1tn3_A,128-191,-0.027106077611128123,0.08887698534163183,0.11598306295275994
3bgy_A,192-255,0.1234698208461779,0.03855604699995533,-0.08491377384622258
7cxz_A,192-255,0.032811303487047284,-0.0010039035505500598,-0.03381520703759735
2ea1_A,192-255,-0.005697547732590335,0.03311364732358139,0.03881119505617173
6iah_A,192-255,-0.010796845778626088,0.0057165442381475785,0.01651339001677367
1jm1_A,192-255,0.20437757201646092,0.05828189300411522,-0.14609567901234569
5r60_A,192-255,0.0803035757139429,-0.027347812175025923,-0.10765138788896883
1dex_A,192-255,0.013512067212500645,-0.0007937782058828643,-0.01430584541838351
3h7t_A,192-255,0.0287947761796374,0.002728138570067978,-0.026066637609569423
1oa9_A,192-255,0.041947225637722754,-0.08668052384019359,-0.12862774947791633
3p35_C,192-255,-0.015394609620497915,-0.014916203367980028,0.00047840625251788845
6m14_A,192-255,-0.07110031078489717,-0.07522757830236501,-0.00412726751746783
6hdk_A,192-255,-0.0001457386032411856,-0.0103571567370099,-0.010211418133768715
2fby_A,192-255,0.0006970804630019497,0.011223581236234126,0.010526500773232176
1iab_A,192-255,0.19999314974654062,0.06252568845047266,-0.13746746129606796
4mll_A,192-255,0.05842339425934225,0.08501834420704883,0.026594949947706583
5c30_A,192-255,0.0028793254151884395,0.01620263252609387,0.013323307110905434
4uas_A,192-255,-0.007487757658581031,0.004920662035455357,0.012408419694036388
3fjp_A,192-255,0.0020812726673260875,-0.0034361605670953552,-0.005517433234421443
5ax1_A,192-255,0.024001470921022856,-0.04209097080787511,-0.06609244172889797
3ury_A,192-255,0.014207048458149777,-0.011912628487518359,-0.026119676945668135
7e2u_A,192-255,0.06453413054309914,-0.018251121076233206,-0.08278525161933235
2ckg_A,192-255,0.047501523461304145,-0.018520211253300858,-0.066021734714605
1tkg_A,192-255,-0.10188882838183982,-0.02956777797946793,0.0723210504023719
4wq7_A,192-255,0.08063497882046267,0.017030180840664703,-0.06360479797979796
3lbf_A,192-255,0.04355149670218164,-0.03790969051243027,-0.0814611872146119
5hwk_A,192-255,-0.04870947434686812,-0.08009718287692791,-0.031387708530059795
1g3q_A,192-255,-0.0017596233192563007,0.0001051728880475543,0.001864796207303855
6ibu_A,192-255,0.011070047565273917,-0.005890052356020926,-0.016960099921294842
